State,CD,Name,Incumbent,Party,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,GOP,PVI,,,,,,,
MI,05,MI05,"Kildee, Dan",(D),49.7,45.5,60.7,38.3,63,35.3,63%,37%,9.7,,,,,,,
MI,06,MI06,"Upton, Fred",(R),42.9,51.3,48.8,50.2,53.1,45.2,52%,48%,1.35,,,,,,,
MI,07,MI07,"Walberg, Tim",(R),38.7,55.7,47.9,51,50.8,47.4,50%,50%,2.92,,,,,,,
MI,08,MI08,"Bishop, Mike",(R),43.9,50.6,48,51.1,52,46.4,51%,49%,2.37,,,,,,,
MI,09,MI09,"Levin, Sander",(D),51.5,43.7,57.2,41.9,58.1,40.1,58%,42%,5.44,,,,,,,
MI,10,MI10,"Mitchell, Paul",(R),31.6,63.8,43.7,55.3,48,50,47%,53%,6.45,,,,,,,
MI,11,MI11,"Trott, Dave",(R),45.3,49.7,46.9,52.3,50.2,48.3,49%,51%,3.89,,,,,,,
MI,12,MI12,"Dingell, Debbie",(D),60.8,34.5,66.2,32.8,66.9,31.4,67%,33%,14.46,,,,,,,
MI,13,MI13,,(D),78.8,18.1,85.2,14.3,84.8,14.2,86%,14%,32.64,,,,,,,
MI,14,MI14,"Lawrence, Brenda",(D),79.2,18.3,81,18.6,82.2,17.1,82%,18%,29.05,,,,,,,
MN,01,MN01,"Walz, Tim",(D),38.4,53.3,49.6,48.2,50.8,46.7,51%,49%,1.59,,,,,,,
MN,02,MN02,"Lewis, Jason",(R),45.3,46.5,49.1,49,50.5,47.6,51%,49%,2.24,,,,,,,
MN,03,MN03,"Paulsen, Erik",(R),50.8,41.4,49.6,48.8,51,47.4,51%,49%,1.88,,,,,,,
MN,04,MN04,"McCollum, Betty",(D),61.5,30.6,62.5,35.5,62.6,35.5,64%,36%,10.79,,,,,,,
MN,05,MN05,"Ellison, Keith",(D),73.7,18.5,73.5,24,73.4,24.5,75%,25%,22.18,,,,,,,
MN,06,MN06,"Emmer, Tom",(R),33.2,58.9,41.5,56.5,43.2,54.7,43%,57%,9.76,,,,,,,
MN,07,MN07,"Peterson, Collin",(D),31,61.8,44.1,53.9,47.1,50.4,47%,53%,6.35,,,,,,,
MN,08,MN08,"Nolan, Rick",(D),38.6,54.2,51.7,46.2,53.1,44.5,54%,46%,0.61,,,,,,,
